,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격)
1282,르노삼성 SM6  2.0 LPe LE???,차량번호 351노5983,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2185131&gubun=K,2020.06,"18,501 km",LPG,"1,998 cc (140마력)",흰색,"60개월 / 100,000km","1,950만원",73,유,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
1283,르노코리아 SM3 Z.E   RE,차량번호 43모0188,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203798&gubun=K,2016.12,"56,464 km",전기,74 cc (95마력),은색,만료,800만원,17,무,무,유,무,무,유,무,유,무,유,등록,,,,,,,,,
1284,르노코리아 SM6 2.0 RE,차량번호 62두4664,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2197365&gubun=K,2017.01?(16년형),"54,263 km",가솔린,"1,997 cc (150마력)",검정색,만료,"1,330만원",44,무,무,무,무,유,유,무,유,무,무,등록,,,,,,,,,
1285,르노코리아 트위지   카고,차량번호 24어4191,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204378&gubun=K,2019.04,"37,118 km",전기,129 cc (17.1마력),빨간색,정보없음,350만원,22,,,,,,,,,,,등록,,,,,,,,,
1286,르노코리아 SM6 2.0 RE,차량번호 343가3205,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204367&gubun=K,2017.08,"116,671 km",가솔린,"1,997 cc (150마력)",검정색,만료,910만원,29,유,무,무,유,유,유,유,유,무,무,등록,,,,,,,,,
1287,르노코리아 더 뉴 QM6 2.0 가솔린 2WD RE 시그니처,차량번호 59부7776,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204377&gubun=K,2019.08?(20년형),"72,448 km",가솔린,"1,997 cc (144마력)",검정색,"60개월 / 100,000km","1,940만원",64,유,무,유,유,유,유,유,유,무,무,등록,,,,,,,,,
1288,르노코리아 QM6 2.0 디젤 2WD  RE 시그니처,차량번호 137우7065,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204375&gubun=K,2017.12?(18년형),"135,799 km",디젤,"1,995 cc (177마력)",흰색,만료,"1,230만원",36,유,무,무,유,유,유,유,유,무,무,등록,,,,,,,,,
1289,르노코리아 SM6 2.0 LE,차량번호 40노0127,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204366&gubun=K,2016.11,"119,708 km",가솔린,"1,997 cc (150마력)",흰색,만료,820만원,29,무,무,무,무,무,무,무,무,무,무,등록,,,,,,,,,
1290,르노코리아 뉴SM5 플래티넘 2.0 SE,차량번호 30오9769,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204364&gubun=K,2012.12?(13년형),"135,167 km",가솔린,"1,998 cc (141마력)",검정색,"132개월 / 220,000km",420만원,17,,,,,,,,,,,등록,,,,,,,,,
1291,르노코리아 뉴 SM5  2.0 LPLi   LE,차량번호 56머2944,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204363&gubun=K,2010.04,"158,970 km",LPG,"1,998 cc (140마력)",진회색,만료,250만원,준비중,,,,,,,,,,,등록,,,,,,,,,
1292,르노코리아 뉴 SM5  2.0  SE 플러스,차량번호 20고2591,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204362&gubun=K,2011.12?(12년형),"136,951 km",가솔린,"1,998 cc (141마력)",검정색,만료,250만원,10,,,,,,,,,,,등록,,,,,,,,,
1293,르노코리아 SM6 1.6  RE,차량번호 50다4678,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204369&gubun=K,2017.02,"117,603 km",가솔린,"1,618 cc (190마력)",검정색,만료,"1,090만원",33,무,무,무,유,유,유,무,유,무,무,등록,,,,,,,,,
1294,르노코리아 SM6 1.6 RE,차량번호 52다4488,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204370&gubun=K,2018.03?(17년형),"133,068 km",가솔린,"1,618 cc (190마력)",흰색,만료,"1,050만원",32,무,무,무,유,무,무,무,무,무,무,등록,,,,,,,,,
1295,르노코리아 SM7 노바 2.5  LE,차량번호 11어8762,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201669&gubun=K,2015.04,"133,586 km",가솔린,"2,495 cc (190마력)",검정색,"132개월 / 220,000km",740만원,22,,,,,,,,,,,등록,,,,,,,,,
1296,르노코리아 SM6 2.0 LE,차량번호 60소7671,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199218&gubun=K,2017.01?(16년형),"108,848 km",가솔린,"1,997 cc (150마력)",흰색,만료,940만원,33,무,무,무,무,무,무,무,무,무,무,등록,,,,,,,,,
1297,르노코리아 SM7 뉴 아트 2.3 프레스티지,차량번호 14로1481,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201651&gubun=K,2010.02,"124,918 km",가솔린,"2,349 cc (170마력)",검정색,만료,280만원,8,,,,,,,,,,,등록,,,,,,,,,
1298,르노코리아 SM5 노바 2.0 SE,차량번호 07누7431,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201633&gubun=K,2015.07,"119,032 km",가솔린,"1,998 cc (141마력)",흰색,"132개월 / 220,000km",599만원,24,,,,,,,,,,,등록,,,,,,,,,
1299,르노삼성 SM3 네오  1.6 PE???,차량번호 69머5946,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2190388&gubun=K,2014.12?(15년형),"142,129 km",가솔린,"1,598 cc (117마력)",흰색,"132개월 / 220,000km",390만원,24,무,무,무,무,무,무,무,무,무,무,등록,,,,,,,,,
1300,르노코리아 올 뉴 SM7  2.5 LE???,차량번호 35머3343,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2198493&gubun=K,2014.09,"41,858 km",가솔린,"2,495 cc (190마력)",흰색,"132개월 / 220,000km","1,100만원",34,무,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
1301,르노코리아 SM6  2.0 프라임 SE???,차량번호 48우1358,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203689&gubun=K,2019.03,"28,889 km",가솔린,"1,998 cc (140마력)",검정색,"60개월 / 100,000km","1,390만원",55,무,무,유,유,무,유,무,유,무,무,등록,,,,,,,,,
1302,르노삼성 SM6  2.0 LPe LE???,차량번호 351노5983,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2185131&gubun=K,2020.06,"18,501 km",LPG,"1,998 cc (140마력)",흰색,"60개월 / 100,000km","1,950만원",73,유,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
1303,르노코리아 SM3 Z.E   RE,차량번호 43모0188,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203798&gubun=K,2016.12,"56,464 km",전기,74 cc (95마력),은색,만료,800만원,17,무,무,유,무,무,유,무,유,무,유,등록,,,,,,,,,
1304,르노삼성 SM5 노바 2.0 LPLi  고급형,차량번호 137머3285,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158182&gubun=K,2016.02,"173,000 km",LPG,"1,998 cc ()",검정색,정보없음,570만원,준비중,,,,,,,,,,,등록,,,,,,,,,
1305,르노코리아 SM6 2.0 RE,차량번호 62두4664,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2197365&gubun=K,2017.01?(16년형),"54,263 km",가솔린,"1,997 cc (150마력)",검정색,만료,"1,330만원",44,무,무,무,무,유,유,무,유,무,무,등록,,,,,,,,,
1306,르노코리아 트위지   카고,차량번호 24어4191,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204378&gubun=K,2019.04,"37,118 km",전기,129 cc (17.1마력),빨간색,정보없음,350만원,22,,,,,,,,,,,등록,,,,,,,,,
1307,르노코리아 SM6 2.0 RE,차량번호 343가3205,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204367&gubun=K,2017.08,"116,671 km",가솔린,"1,997 cc (150마력)",검정색,만료,910만원,29,유,무,무,유,유,유,유,유,무,무,등록,,,,,,,,,
1308,르노코리아 더 뉴 QM6 2.0 가솔린 2WD RE 시그니처,차량번호 59부7776,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204377&gubun=K,2019.08?(20년형),"72,448 km",가솔린,"1,997 cc (144마력)",검정색,"60개월 / 100,000km","1,940만원",64,유,무,유,유,유,유,유,유,무,무,등록,,,,,,,,,
1309,르노코리아 QM6 2.0 디젤 2WD  RE 시그니처,차량번호 137우7065,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204375&gubun=K,2017.12?(18년형),"135,799 km",디젤,"1,995 cc (177마력)",흰색,만료,"1,230만원",36,유,무,무,유,유,유,유,유,무,무,등록,,,,,,,,,
1310,르노코리아 SM6 2.0 LE,차량번호 40노0127,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204366&gubun=K,2016.11,"119,708 km",가솔린,"1,997 cc (150마력)",흰색,만료,820만원,29,무,무,무,무,무,무,무,무,무,무,등록,,,,,,,,,
1311,르노코리아 뉴SM5 플래티넘 2.0 SE,차량번호 30오9769,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204364&gubun=K,2012.12?(13년형),"135,167 km",가솔린,"1,998 cc (141마력)",검정색,"132개월 / 220,000km",420만원,17,,,,,,,,,,,등록,,,,,,,,,
1312,르노코리아 뉴 SM5  2.0 LPLi   LE,차량번호 56머2944,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204363&gubun=K,2010.04,"158,970 km",LPG,"1,998 cc (140마력)",진회색,만료,250만원,준비중,,,,,,,,,,,등록,,,,,,,,,
1313,르노코리아 뉴 SM5  2.0  SE 플러스,차량번호 20고2591,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204362&gubun=K,2011.12?(12년형),"136,951 km",가솔린,"1,998 cc (141마력)",검정색,만료,250만원,10,,,,,,,,,,,등록,,,,,,,,,
1314,르노코리아 SM6 1.6  RE,차량번호 50다4678,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204369&gubun=K,2017.02,"117,603 km",가솔린,"1,618 cc (190마력)",검정색,만료,"1,090만원",33,무,무,무,유,유,유,무,유,무,무,등록,,,,,,,,,
1315,르노코리아 SM6 1.6 RE,차량번호 52다4488,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204370&gubun=K,2018.03?(17년형),"133,068 km",가솔린,"1,618 cc (190마력)",흰색,만료,"1,050만원",32,무,무,무,유,무,무,무,무,무,무,등록,,,,,,,,,
1316,르노코리아 SM7 노바 2.5  LE,차량번호 11어8762,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201669&gubun=K,2015.04,"133,586 km",가솔린,"2,495 cc (190마력)",검정색,"132개월 / 220,000km",740만원,22,,,,,,,,,,,등록,,,,,,,,,
1317,르노코리아 SM6 2.0 LE,차량번호 60소7671,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199218&gubun=K,2017.01?(16년형),"108,848 km",가솔린,"1,997 cc (150마력)",흰색,만료,940만원,33,무,무,무,무,무,무,무,무,무,무,등록,,,,,,,,,
1318,르노코리아 SM7 뉴 아트 2.3 프레스티지,차량번호 14로1481,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201651&gubun=K,2010.02,"124,918 km",가솔린,"2,349 cc (170마력)",검정색,만료,280만원,8,,,,,,,,,,,등록,,,,,,,,,
1319,르노코리아 SM5 노바 2.0 SE,차량번호 07누7431,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201633&gubun=K,2015.07,"119,032 km",가솔린,"1,998 cc (141마력)",흰색,"132개월 / 220,000km",599만원,24,,,,,,,,,,,등록,,,,,,,,,
1320,르노삼성 SM3 네오  1.6 PE???,차량번호 69머5946,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2190388&gubun=K,2014.12?(15년형),"142,129 km",가솔린,"1,598 cc (117마력)",흰색,"132개월 / 220,000km",390만원,24,무,무,무,무,무,무,무,무,무,무,등록,,,,,,,,,
1321,르노코리아 올 뉴 SM7  2.5 LE???,차량번호 35머3343,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2198493&gubun=K,2014.09,"41,858 km",가솔린,"2,495 cc (190마력)",흰색,"132개월 / 220,000km","1,100만원",34,무,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
1322,르노코리아 SM6  2.0 프라임 SE???,차량번호 48우1358,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203689&gubun=K,2019.03,"28,889 km",가솔린,"1,998 cc (140마력)",검정색,"60개월 / 100,000km","1,390만원",55,무,무,유,유,무,유,무,유,무,무,등록,,,,,,,,,
1323,르노삼성 SM6  2.0 LPe LE???,차량번호 351노5983,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2185131&gubun=K,2020.06,"18,501 km",LPG,"1,998 cc (140마력)",흰색,"60개월 / 100,000km","1,950만원",73,유,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
1324,벤츠  10세대  E350 4매틱 AMG 라인 에디션???,차량번호 307보5262,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181972&gubun=I,2020.12?(21년형),"8,200 km",가솔린,"1,991 cc (299마력)",청색,"36개월 / 100,000km","6,500만원",77,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1325,벤츠  9세대  E300 엘레강스??,차량번호 68소8834,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179720&gubun=I,2015.08?(16년형),"105,000 km",가솔린,"3,498 cc (252마력)",은색,불가,"2,500만원",37,유,무,유,유,무,유,무,유,무,유,미등록,,,,,,,,,
1326,벤츠  10세대  E300 아방가르드???,차량번호 166모3153,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2195467&gubun=I,2019.06,"50,498 km",가솔린,"1,991 cc (245마력)",검정색,불가,"3,790만원",59,유,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
1327,벤츠  10세대  E250 AMG 라인???,차량번호 106무8758,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204523&gubun=I,2022.12?(23년형),"10,326 km",가솔린,"1,991 cc (211마력)",검정색,불가,"6,590만원",86,유,무,유,유,유,유,무,유,유,유,등록,,,,,,,,,
1328,벤츠  10세대  E450 4매틱 익스클루시브???,차량번호 312나7759,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2187239&gubun=I,2020.04,"52,000 km",가솔린,"2,996 cc (367마력)",흰색,만료,[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1329,벤츠  10세대  E300e 4매틱 익스클루시브???,차량번호 378조2633,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202914&gubun=I,2020.09,"20,000 km",가솔린 하이브리드,"1,991 cc (320마력)",흰색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1330,벤츠  10세대  E300e 4매틱 익스클루시브???,차량번호 177보9342,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2190382&gubun=I,2022.02,"11,800 km",가솔린 하이브리드,"1,991 cc (320마력)",진청색 (노빅 블루),"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
1331,벤츠  10세대  E220 d 4매틱 아방가르드???,차량번호 01도1566,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205004&gubun=I,2018.08,"120,000 km",디젤,"1,950 cc (194마력)",은색,불가,"2,890만원",40,유,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
1332,벤츠  10세대  E450 4매틱 카브리올레 -???,차량번호 307부9977,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2198674&gubun=I,2021.03,"16,000 km",가솔린,"2,999 cc (367마력)",기타색상,"36개월 / 100,000km",[가격상담],준비중,무,무,유,무,유,유,유,유,유,유,등록,,,,,,,,,
1333,벤츠  9세대  E350 4매틱 -???,차량번호 50고1889,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204439&gubun=I,2012.07,"158,000 km",가솔린,"3,498 cc (306마력)",검정색,불가,950만원,10,무,유,유,유,무,유,무,유,무,유,등록,,,,,,,,,
1334,벤츠  9세대  E200 CGI 아방가르드???,차량번호 54너4314,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203104&gubun=I,2010.09,"133,000 km",가솔린,"1,796 cc (184마력)",은색,불가,790만원,12,유,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
1335,벤츠  9세대  E300 엘레강스???,차량번호 31두2042,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202771&gubun=I,2010.12?(11년형),"117,000 km",가솔린,"3,498 cc (231마력)",은색,불가,850만원,12,유,무,유,유,무,유,무,유,무,유,등록,,,,,,,,,
1336,벤츠  10세대  E350 4매틱 익스클루시브???,차량번호 112부1940,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204212&gubun=I,2023.00,99 km,가솔린,"1,991 cc (299마력)",검정색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1337,벤츠  10세대  E300e 4매틱 익스클루시브???,차량번호 189오5659,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181148&gubun=I,2020.05,"41,800 km",가솔린 하이브리드,"1,991 cc (320마력)",흰색,만료,"5,650만원",67,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1338,벤츠  10세대  E450 4매틱 카브리올레 -???,차량번호 06무2442,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2187267&gubun=I,2019.07,"54,300 km",가솔린,"2,996 cc (367마력)",흰색,불가,[가격상담],준비중,무,무,유,무,유,유,유,유,유,유,미등록,,,,,,,,,
1339,벤츠  10세대  E53 AMG 4매틱+ -???,차량번호 353거4878,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2168044&gubun=I,2021.05,"10,000 km",가솔린,"2,999 cc (435마력)",흰색,"36개월 / 100,000km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1340,벤츠  10세대  E250 아방가르드???,차량번호 304더8889,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203257&gubun=I,2019.12?(20년형),"31,000 km",가솔린,"1,991 cc (211마력)",흰색,만료,[가격상담],준비중,유,무,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
1341,벤츠  10세대  E220 d 아방가르드???,차량번호 391마3238,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204135&gubun=I,2019.10,"39,000 km",디젤,"1,950 cc (194마력)",흰색,불가,[가격상담],준비중,유,무,유,무,유,유,무,유,무,유,미등록,,,,,,,,,
1342,벤츠  10세대  E350 4매틱 AMG 라인???,차량번호 107고8863,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202241&gubun=I,2020.11?(21년형),"16,900 km",가솔린,"1,991 cc (299마력)",청색,"36개월 / 100,000km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1343,벤츠  10세대  E350 4매틱 AMG 라인???,차량번호 141도7387,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205183&gubun=I,2021.04,"23,450 km",가솔린,"1,991 cc (299마력)",흰색,"36개월 / 100,000km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,등록,,,,,,,,,
1344,벤츠  10세대  E350 4매틱 AMG 라인 에디션???,차량번호 307보5262,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181972&gubun=I,2020.12?(21년형),"8,200 km",가솔린,"1,991 cc (299마력)",청색,"36개월 / 100,000km","6,500만원",77,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1345,벤츠  9세대  E300 엘레강스??,차량번호 68소8834,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179720&gubun=I,2015.08?(16년형),"105,000 km",가솔린,"3,498 cc (252마력)",은색,불가,"2,500만원",37,유,무,유,유,무,유,무,유,무,유,미등록,,,,,,,,,
1346,벤츠  10세대  E300 아방가르드???,차량번호 166모3153,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2195467&gubun=I,2019.06,"50,498 km",가솔린,"1,991 cc (245마력)",검정색,불가,"3,790만원",59,유,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
1347,벤츠  10세대  E250 AMG 라인???,차량번호 106무8758,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204523&gubun=I,2022.12?(23년형),"10,326 km",가솔린,"1,991 cc (211마력)",검정색,불가,"6,590만원",86,유,무,유,유,유,유,무,유,유,유,등록,,,,,,,,,
1348,벤츠  10세대  E450 4매틱 익스클루시브???,차량번호 312나7759,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2187239&gubun=I,2020.04,"52,000 km",가솔린,"2,996 cc (367마력)",흰색,만료,[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1349,벤츠  10세대  E300e 4매틱 익스클루시브???,차량번호 378조2633,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202914&gubun=I,2020.09,"20,000 km",가솔린 하이브리드,"1,991 cc (320마력)",흰색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1350,벤츠  10세대  E300e 4매틱 익스클루시브???,차량번호 177보9342,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2190382&gubun=I,2022.02,"11,800 km",가솔린 하이브리드,"1,991 cc (320마력)",진청색 (노빅 블루),"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
1351,벤츠  10세대  E220 d 4매틱 아방가르드???,차량번호 01도1566,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205004&gubun=I,2018.08,"120,000 km",디젤,"1,950 cc (194마력)",은색,불가,"2,890만원",40,유,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
1352,벤츠  10세대  E450 4매틱 카브리올레 -???,차량번호 307부9977,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2198674&gubun=I,2021.03,"16,000 km",가솔린,"2,999 cc (367마력)",기타색상,"36개월 / 100,000km",[가격상담],준비중,무,무,유,무,유,유,유,유,유,유,등록,,,,,,,,,
1353,벤츠  9세대  E350 4매틱 -???,차량번호 50고1889,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204439&gubun=I,2012.07,"158,000 km",가솔린,"3,498 cc (306마력)",검정색,불가,950만원,10,무,유,유,유,무,유,무,유,무,유,등록,,,,,,,,,
1354,벤츠  9세대  E200 CGI 아방가르드???,차량번호 54너4314,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203104&gubun=I,2010.09,"133,000 km",가솔린,"1,796 cc (184마력)",은색,불가,790만원,12,유,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
1355,벤츠  9세대  E300 엘레강스???,차량번호 31두2042,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202771&gubun=I,2010.12?(11년형),"117,000 km",가솔린,"3,498 cc (231마력)",은색,불가,850만원,12,유,무,유,유,무,유,무,유,무,유,등록,,,,,,,,,
1356,벤츠  10세대  E350 4매틱 익스클루시브???,차량번호 112부1940,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204212&gubun=I,2023.00,99 km,가솔린,"1,991 cc (299마력)",검정색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1357,벤츠  10세대  E300e 4매틱 익스클루시브???,차량번호 189오5659,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181148&gubun=I,2020.05,"41,800 km",가솔린 하이브리드,"1,991 cc (320마력)",흰색,만료,"5,650만원",67,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1358,벤츠  10세대  E450 4매틱 카브리올레 -???,차량번호 06무2442,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2187267&gubun=I,2019.07,"54,300 km",가솔린,"2,996 cc (367마력)",흰색,불가,[가격상담],준비중,무,무,유,무,유,유,유,유,유,유,미등록,,,,,,,,,
1359,벤츠  10세대  E53 AMG 4매틱+ -???,차량번호 353거4878,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2168044&gubun=I,2021.05,"10,000 km",가솔린,"2,999 cc (435마력)",흰색,"36개월 / 100,000km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1360,벤츠  10세대  E250 아방가르드???,차량번호 304더8889,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203257&gubun=I,2019.12?(20년형),"31,000 km",가솔린,"1,991 cc (211마력)",흰색,만료,[가격상담],준비중,유,무,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
1361,벤츠  10세대  E220 d 아방가르드???,차량번호 391마3238,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204135&gubun=I,2019.10,"39,000 km",디젤,"1,950 cc (194마력)",흰색,불가,[가격상담],준비중,유,무,유,무,유,유,무,유,무,유,미등록,,,,,,,,,
1362,벤츠  10세대  E350 4매틱 AMG 라인???,차량번호 107고8863,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202241&gubun=I,2020.11?(21년형),"16,900 km",가솔린,"1,991 cc (299마력)",청색,"36개월 / 100,000km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1363,벤츠  10세대  E350 4매틱 AMG 라인???,차량번호 141도7387,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205183&gubun=I,2021.04,"23,450 km",가솔린,"1,991 cc (299마력)",흰색,"36개월 / 100,000km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,등록,,,,,,,,,
1364,벤츠  10세대  E350 4매틱 AMG 라인 에디션???,차량번호 307보5262,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181972&gubun=I,2020.12?(21년형),"8,200 km",가솔린,"1,991 cc (299마력)",청색,"36개월 / 100,000km","6,500만원",77,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1365,벤츠  9세대  E300 엘레강스??,차량번호 68소8834,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179720&gubun=I,2015.08?(16년형),"105,000 km",가솔린,"3,498 cc (252마력)",은색,불가,"2,500만원",37,유,무,유,유,무,유,무,유,무,유,미등록,,,,,,,,,
1366,벤츠  10세대  E300 아방가르드???,차량번호 166모3153,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2195467&gubun=I,2019.06,"50,498 km",가솔린,"1,991 cc (245마력)",검정색,불가,"3,790만원",59,유,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
1367,벤츠  10세대  E250 AMG 라인???,차량번호 106무8758,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204523&gubun=I,2022.12?(23년형),"10,326 km",가솔린,"1,991 cc (211마력)",검정색,불가,"6,590만원",86,유,무,유,유,유,유,무,유,유,유,등록,,,,,,,,,
1368,벤츠  10세대  E450 4매틱 익스클루시브???,차량번호 312나7759,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2187239&gubun=I,2020.04,"52,000 km",가솔린,"2,996 cc (367마력)",흰색,만료,[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1369,벤츠  10세대  E300e 4매틱 익스클루시브???,차량번호 378조2633,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202914&gubun=I,2020.09,"20,000 km",가솔린 하이브리드,"1,991 cc (320마력)",흰색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
